FilePath,Severity,Control name,Failed resources,All Resources,Compliance score
extracted_project_yamls,Medium,Prevent containers from allowing command execution,58,862,93.27146
extracted_project_yamls,Medium,Roles with delete capabilities,183,914,79.97812
extracted_project_yamls,High,Applications credentials in configuration files,44,552,92.028984
extracted_project_yamls,Medium,Non-root containers,379,385,1.5584415
extracted_project_yamls,Low,Access Kubernetes dashboard,0,1247,100.0
extracted_project_yamls,High,List Kubernetes secrets,195,862,77.37819
extracted_project_yamls,Medium,Allow privilege escalation,283,386,26.683939
extracted_project_yamls,Low,Immutable container filesystem,304,385,21.038961
extracted_project_yamls,Low,Configured readiness probe,294,385,23.636364
extracted_project_yamls,Medium,Mount service principal,0,385,100.0
extracted_project_yamls,Medium,Ingress and Egress blocked,338,422,19.905214
extracted_project_yamls,Medium,Delete Kubernetes events,56,862,93.50348
extracted_project_yamls,Medium,Automatic mapping of service account,153,609,74.87685
extracted_project_yamls,Medium,Administrative Roles,20,862,97.67981
extracted_project_yamls,High,Host PID/IPC privileges,10,385,97.402596
extracted_project_yamls,High,HostNetwork access,12,385,96.88312
extracted_project_yamls,Low,SSH server running inside container,0,27,100.0
extracted_project_yamls,Medium,Container hostPort,4,385,98.96104
extracted_project_yamls,High,Writable hostPath mount,16,385,95.844154
extracted_project_yamls,High,Insecure capabilities,8,385,97.92208
extracted_project_yamls,High,HostPath mount,18,385,95.32468
extracted_project_yamls,Low,Network mapping,31,31,0.0
extracted_project_yamls,Medium,Access container service account,649,650,0.15384616
extracted_project_yamls,Medium,Cluster internal networking,31,31,0.0
extracted_project_yamls,Medium,Linux hardening,305,385,20.77922
extracted_project_yamls,Medium,Configured liveness probe,299,385,22.337662
extracted_project_yamls,High,Privileged container,18,385,95.32468
extracted_project_yamls,High,CVE-2021-25742-nginx-ingress-snippet-annotation-vulnerability,0,0,100.0
extracted_project_yamls,Low,Pods in default namespace,189,385,50.90909
extracted_project_yamls,Medium,Sudo in container entrypoint,0,385,100.0
extracted_project_yamls,Medium,Portforwarding privileges,30,862,96.51972
extracted_project_yamls,Medium,No impersonation,21,862,97.563805
extracted_project_yamls,Low,PSP enabled,0,0,100.0
extracted_project_yamls,Low,Naked pods,4,4,0.0
extracted_project_yamls,Medium,Container runtime socket mounted,0,385,100.0
extracted_project_yamls,Low,Image pull policy on latest tag,30,385,92.20779
extracted_project_yamls,Low,Label usage for resources,265,385,31.16883
extracted_project_yamls,Low,K8s common labels usage,293,385,23.896105
extracted_project_yamls,Medium,Images from allowed registry,0,385,0.0
extracted_project_yamls,Medium,CVE-2022-24348-argocddirtraversal,0,0,100.0
extracted_project_yamls,Critical,CVE-2022-39328-grafana-auth-bypass,0,5,100.0
extracted_project_yamls,High,CVE-2022-47633-kyverno-signature-bypass,0,0,100.0
extracted_project_yamls,Medium,Prefer using secrets as files over secrets as environment variables,12,385,96.88312
extracted_project_yamls,Medium,Workload with PVC access,0,552,100.0
extracted_project_yamls,Medium,Missing network policy,338,589,42.6146
extracted_project_yamls,High,Anonymous access enabled,0,285,100.0
extracted_project_yamls,High,Ensure CPU limits are set,313,385,18.701298
extracted_project_yamls,High,Ensure memory limits are set,312,385,18.961039
